,title,manufacturer,retailer,code,link,operation,date_ops
88,Plafón LED redondo Moire 6W 450lm 4000K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A31629975-plafon-led-redondo-moire-6w-450lm-4000k/,RPI Re-added to Retailer,07-11-2022 12:20
89,"Bombilla LED globo E27 10,5 W 1.521lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955528-bombilla-led-globo-e27-105-w-1521lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
90,"Bombilla LED esférica E27 4,3W 470lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955529-bombilla-led-esferica-e27-43w-470lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
91,"Bombilla LED estándar regulable E27 10,5W 1.521lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30032593-bombilla-led-estandar-regulable-e27-105w-1521lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
92,"Bombilla LED vela mate 4,3 W 470 lm 4000 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30032607-bombilla-led-vela-mate-43-w-470-lm-4000-k/,RPI Re-added to Retailer,07-11-2022 12:20
93,Videoportero Welcome Eye Connect,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37953029-videoportero-welcome-eye-connect/,RPI Re-added to Retailer,07-11-2022 12:20
94,Bombilla LED Classic Globo 13 W Philips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/hogar/A38553350-bombilla-led-classic-globo-13-w-philips/,RPI Re-added to Retailer,07-11-2022 12:20
95,Bombilla Halógena especial hornos E14 15W 90lm,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411810-bombilla-halogena-especial-hornos-e14-15w-90lm/,RPI Re-added to Retailer,07-11-2022 12:20
96,Bombilla Halógena especial frigorífico E14 15W 110lm,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411814-bombilla-halogena-especial-frigorifico-e14-15w-110lm/,RPI Re-added to Retailer,07-11-2022 12:20
97,"Bombilla LED reflector E14 2,8W 210lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411863-bombilla-led-reflector-e14-28w-210lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
